Name,Address,Region,Town,Longtitude,Latitude,path
金城車站,金門縣893金城鎮民生路7號,金門縣,金城鎮,118.31989,24.43346,location_images/金城車站.jpg
金門尚義機場,金門縣891金湖鎮尚義機場2號,金門縣,金湖鎮,118.35985,24.42914,location_images/金門尚義機場.jpg
蔡厝古道,金門縣890金沙鎮蔡厝古道,金門縣,金沙鎮,118.41674,24.4716,location_images/蔡厝古道.jpg
成功坑道_成功海灘,金門縣891金湖鎮正義里成功村(鄰近陳景蘭洋樓),金門縣,金湖鎮,118.38954,24.43542,location_images/成功坑道_成功海灘.jpg
後浦小鎮商圈,金門縣893金城鎮,金門縣,金城鎮,118.31551,24.43206,location_images/後浦小鎮商圈.jpg
湖下一營區 (W027據點),金門縣892金寧鄉烏紗頭南山林道,金門縣,金寧鄉,118.293,24.47192,location_images/湖下一營區 (W027據點).jpg
南山頭四營區,金門縣894烈嶼鄉南山頭區,金門縣,烈嶼鄉,118.2269,24.40721,location_images/南山頭四營區.jpg
歐厝聚落,金門縣893金城鎮歐厝,金門縣,金城鎮,118.33158,24.40801,location_images/歐厝聚落.jpg
峰上巡檢司,金門縣891金湖鎮峰上,金門縣,金湖鎮,118.46033,24.42742,location_images/峰上巡檢司.jpg
寒舍花,金門縣890金沙鎮寒舍花安檢所,金門縣,金沙鎮,118.44817,24.50718,location_images/寒舍花.jpg
船型堡,金門縣890金沙鎮楓香林往山后民俗文化村的岔路,金門縣,金沙鎮,118.4474,24.49947,location_images/船型堡.jpg
鶯山廟,金門縣890金沙鎮鶯山廟,金門縣,金沙鎮,118.38853,24.48568,location_images/鶯山廟.jpg
雞髻頭,金門縣890金沙鎮劉澳海口,金門縣,金沙鎮,118.38009,24.48345,location_images/雞髻頭.jpg
天摩山,金門縣890金沙鎮天摩山,金門縣,金沙鎮,118.41762,24.52669,location_images/天摩山.jpg
呂厝花帔屋,金門縣890金沙鎮呂厝拱峰宮旁,金門縣,金沙鎮,118.39187,24.4855,location_images/呂厝花帔屋.jpg
新湖漁港,金門縣891金湖鎮新湖漁港,金門縣,金湖鎮,118.41032,24.43038,location_images/新湖漁港.jpg
塔山電廠輸油棧橋碼頭,金門縣893金城鎮塔山電廠附近,金門縣,金城鎮,118.2809,24.41538,location_images/塔山電廠輸油棧橋碼頭.jpg
金門光前觀光休閒鹿場,金門縣892金寧鄉西浦頭101-1號(光前廟後方100公尺),金門縣,金寧鄉,118.31843,24.46877,location_images/金門光前觀光休閒鹿場.jpg
高洞坑道,金門縣891金湖鎮漁村內,金門縣,金湖鎮,118.40682,24.43331,location_images/高洞坑道.jpg
獅山海灘,金門縣890金沙鎮獅山附近,金門縣,金沙鎮,118.44112,24.50789,location_images/獅山海灘.jpg
粉紅湖,金門縣892金寧鄉慈湖附近,金門縣,金寧鄉,118.31133,24.47014,location_images/粉紅湖.jpg
莒光湖風景區,金門縣893金城鎮莒光湖,金門縣,金城鎮,118.31647,24.42739,location_images/莒光湖風景區.jpg
古寧頭聚落,金門縣892金寧鄉古寧村,金門縣,金寧鄉,118.3082,24.47564,location_images/古寧頭聚落.jpg
山海一家,連江縣莒光鄉青帆村74之2號(莒光鄉公所),連江縣,莒光鄉,119.93147,25.97227,location_images/山海一家.jpg
午沙北海坑道,連江縣北竿鄉(土反)里村47號(旅客遊客服務中心),連江縣,北竿鄉,119.98094,26.21722,location_images/午沙北海坑道.jpg
四維夫人村,連江縣南竿鄉仁愛村95-1號(旅客遊客服務中心),連江縣,南竿鄉,119.9193,26.15973,location_images/四維夫人村.jpg
四維村落日步道,連江縣南竿鄉仁愛村95-1號(旅客遊客服務中心),連江縣,南竿鄉,119.91816,26.16182,location_images/四維村落日步道.jpg
白馬尊王廟,連江縣南竿鄉仁愛村95-1號(旅客遊客服務中心),連江縣,南竿鄉,119.93778,26.15419,location_images/白馬尊王廟.jpg
后澳閩東閒情,連江縣北竿鄉(土反)里村47號(旅客遊客服務中心),連江縣,北竿鄉,120.00696,26.22303,location_images/后澳閩東閒情.jpg
(土反)里古厝,連江縣北竿鄉坂里村47號(旅客遊客服務中心),連江縣,北竿鄉,119.97433,26.21611,location_images/(土反)里古厝.jpg
和尚看經,連江縣東引鄉樂華村160-1號(旅客遊客服務中心),連江縣,東引鄉,120.47814,26.36874,location_images/和尚看經.jpg
坤坵步道,連江縣莒光鄉福正村1號(旅客遊客服務中心),連江縣,莒光鄉,119.93032,25.97518,location_images/坤坵步道.jpg
東洋山步道,連江縣莒光鄉福正村1號(旅客遊客服務中心),連江縣,莒光鄉,119.98163,25.96274,location_images/東洋山步道.jpg
東湧燈塔,連江縣東引鄉樂華村160-1號(旅客遊客服務中心),連江縣,東引鄉,120.51058,26.36539,location_images/東湧燈塔.jpg
馬祖故事館,連江縣南竿鄉仁愛村19號,連江縣,南竿鄉,119.92556,26.14302,location_images/馬祖故事館.jpg
馬港天后宮,連江縣南竿鄉仁愛村95-1號(旅客遊客服務中心),連江縣,南竿鄉,119.91807,26.15836,location_images/馬港天后宮.jpg
猛澳港,連江縣莒光鄉福正村1號(旅客遊客服務中心),連江縣,莒光鄉,119.964451,25.95809,location_images/猛澳港.jpg
菜埔澳,連江縣莒光鄉青帆村74之2號(莒光鄉公所),連江縣,莒光鄉,119.94399,25.98119,location_images/菜埔澳.jpg
雲臺山,連江縣南竿鄉仁愛村95-1號(旅客遊客服務中心),連江縣,南竿鄉,119.92344,26.14996,location_images/雲臺山.jpg
塘岐商圈,連江縣北竿鄉(土反)里村47號(旅客遊客服務中心),連江縣,北竿鄉,119.998,26.22393,location_images/塘岐商圈.jpg
媽祖石神像,連江縣南竿鄉仁愛村95-1號(旅客遊客服務中心),連江縣,南竿鄉,119.91379,26.16027,location_images/媽祖石神像.jpg
獅子市場,連江縣南竿鄉仁愛村95-1號(旅客遊客服務中心),連江縣,南竿鄉,119.95146,26.1556,location_images/獅子市場.jpg
福山照壁－枕戈待旦,連江縣南竿鄉仁愛村95-1號(旅客遊客服務中心),連江縣,南竿鄉,119.94053,26.15676,location_images/福山照壁－枕戈待旦.jpg
福正沙灘,連江縣莒光鄉福正村1號(旅客遊客服務中心),,,119.98112,25.96685,location_images/福正沙灘.jpg
福澳港,連江縣南竿鄉福沃村129之1號2樓,連江縣,南竿鄉,119.94321,26.16023,location_images/福澳港.jpg
壁山觀景,連江縣北竿鄉(土反)里村47號(旅客遊客服務中心),連江縣,北竿鄉,119.99258,26.22522,location_images/壁山觀景.jpg
親民步道,連江縣南竿鄉仁愛村95-1號(旅客遊客服務中心),連江縣,南竿鄉,119.93744,26.15423,location_images/親民步道.jpg
蘇澳冷泉公園,宜蘭縣270蘇澳鎮冷泉路6-4號,宜蘭縣,蘇澳鎮,121.85116,24.59655,location_images/蘇澳冷泉公園.jpg
豆腐岬風景區,宜蘭縣270蘇澳鎮南方澳漁港東側,宜蘭縣,蘇澳鎮,121.87145,24.58383,location_images/豆腐岬風景區.jpg
武荖坑風景區,宜蘭縣270蘇澳鎮武荖坑路75號,宜蘭縣,蘇澳鎮,121.81444,24.61061,location_images/武荖坑風景區.jpg
南澳農場,宜蘭縣270蘇澳鎮270宜蘭縣蘇澳鎮海岸路92號,宜蘭縣,蘇澳鎮,121.78893,24.44941,location_images/南澳農場.jpg
南方澳南天宮(金媽祖、玉媽祖),宜蘭縣270蘇澳鎮江夏路17號,宜蘭縣,蘇澳鎮,121.86499,24.58188,location_images/南方澳南天宮(金媽祖、玉媽祖).jpg
南方澳進安宮(寶石珊瑚媽祖),宜蘭縣270蘇澳鎮江夏路81號,宜蘭縣,蘇澳鎮,121.86452,24.5842,location_images/南方澳進安宮(寶石珊瑚媽祖).jpg
蘇澳晉安宮(張公廟),宜蘭縣270蘇澳鎮太平一巷13號,宜蘭縣,蘇澳鎮,121.85065,24.59576,location_images/蘇澳晉安宮(張公廟).jpg
內埤海灣,宜蘭縣270蘇澳鎮內埤路(北濱公園旁),宜蘭縣,蘇澳鎮,121.87052,24.57706,location_images/內埤海灣.jpg
頂寮生態公園,宜蘭縣270蘇澳鎮頂寮,宜蘭縣,蘇澳鎮,121.84268,24.6397,location_images/頂寮生態公園.jpg
獅子公園,宜蘭縣270蘇澳鎮蘇南公路往南方澳方向路旁(紫竹寺斜對面),宜蘭縣,蘇澳鎮,121.85967,24.58876,location_images/獅子公園.jpg
東澳灣.粉鳥林漁港,宜蘭縣272南澳鄉蘇花路三段東澳灣,宜蘭縣,蘇澳鎮,121.83808,24.51124,location_images/東澳灣.粉鳥林漁港.jpg
朝陽漁港,宜蘭縣270蘇澳鎮朝陽路1號附近(朝陽社區內),宜蘭縣,蘇澳鎮,121.82105,24.46007,location_images/朝陽漁港.jpg
朝陽國家步道,宜蘭縣270蘇澳鎮朝陽社區內,宜蘭縣,蘇澳鎮,121.81913,24.46075,location_images/朝陽國家步道.jpg
南寧魚市場,宜蘭縣270蘇澳鎮內埤路185號,宜蘭縣,蘇澳鎮,121.86988,24.5816,location_images/南寧魚市場.jpg
砲台山風景區,宜蘭縣270蘇澳鎮蘇花公路起點旁,宜蘭縣,蘇澳鎮,121.85603,24.59367,location_images/砲台山風景區.jpg
七星嶺步道,宜蘭縣270蘇澳鎮冷泉路(主入口位於蘇澳冷泉旁),宜蘭縣,蘇澳鎮,121.85117,24.59656,location_images/七星嶺步道.jpg
蜡藝彩繪館,宜蘭縣270蘇澳鎮德興六路7號,宜蘭縣,蘇澳鎮,121.82453,24.63084,location_images/蜡藝彩繪館.jpg
白米木屐村,宜蘭縣270蘇澳鎮永春路174號,宜蘭縣,蘇澳鎮,121.84588,24.58148,location_images/白米木屐村.jpg
宜蘭餅發明館,宜蘭縣270蘇澳鎮海山西路369號,宜蘭縣,蘇澳鎮,121.82917,24.61447,location_images/宜蘭餅發明館.jpg
