title,image,area_1,area_2,latitude,longitude,address
津沙聚落,/hotspots/taiwan_img/津沙聚落.jpg,連江縣,南竿鄉,26.146118,119.91321,連江縣南竿鄉津沙村
馬祖境天后宮,/hotspots/taiwan_img/馬祖境天后宮.jpg,連江縣,南竿鄉,26.158251,119.91815,連江縣南竿鄉馬祖村4-1號
經國先生紀念堂,/hotspots/taiwan_img/經國先生紀念堂.jpg,連江縣,南竿鄉,26.150728,119.93432,連江縣南竿鄉
大漢據點,/hotspots/taiwan_img/大漢據點.jpg,連江縣,南竿鄉,26.140628,119.92906,連江縣南竿鄉
馬祖國家風景區-南竿遊客中心,/hotspots/taiwan_img/馬祖國家風景區-南竿遊客中心.jpg,連江縣,南竿鄉,26.141103,119.92742,連江縣南竿鄉仁愛村95-2號
戰爭和平紀念公園主題館,/hotspots/taiwan_img/戰爭和平紀念公園主題館.jpg,連江縣,北竿鄉,26.220592,120.00854,連江縣北竿鄉后澳村1-2號
馬祖國家風景區-北竿遊客中心,/hotspots/taiwan_img/馬祖國家風景區-北竿遊客中心.jpg,連江縣,北竿鄉,26.216276,119.97456,連江縣北竿鄉坂里村47號
士林夜市,/hotspots/taiwan_img/士林夜市.jpg,臺北市,士林區,25.086887,121.52536,臺北市士林區大東路、大南路、文林路、基河路
陽明山國家公園,/hotspots/taiwan_img/陽明山國家公園.jpg,臺北市,北投區,25.155744,121.54762,臺北市北投區竹子湖路1-20號
臺北龍山寺,/hotspots/taiwan_img/臺北龍山寺.jpg,臺北市,萬華區,25.037162,121.4999,臺北市萬華區廣州街211號
饒河街觀光夜市,/hotspots/taiwan_img/饒河街觀光夜市.jpg,臺北市,松山區,25.050954,121.57752,臺北市松山區饒河街
國立故宮博物院,/hotspots/taiwan_img/國立故宮博物院.jpg,臺北市,士林區,25.102355,121.54849,臺北市士林區至善路二段221號
迪化街-年貨大街,/hotspots/taiwan_img/迪化街-年貨大街.jpg,臺北市,大同區,25.055104,121.51003,臺北市大同區迪化街一段
新北投溫泉區,/hotspots/taiwan_img/新北投溫泉區.jpg,臺北市,北投區,25.136879,121.50837,臺北市北投區中山路、光明路
